时间,城市,音乐剧,卡司,剧院
2024-01-01 11:00,成都,熊猫,,熊猫剧院
2024-01-01 13:20,成都,熊猫,,熊猫剧院
2024-01-01 14:00,上海,LIZZIE丽兹,LIZZIE:严小北 EMMA:丁臻滢 BRIDGET:陈姝月 ALICE:宁梦恬,星空间11号·MOriginal Box
2024-01-01 14:00,上海,周生如故,周生辰:张泽 漼时宜:徐瑶 刘子行:毛二 戚太后:黎宛曈 漼广:车鸣笛 漼风:张艺 幸华公主:毛珏懿 先帝亡灵:李浩楠,上剧场
2024-01-01 14:00,西安,丝路之声,Joey:宋凯文 心慧/素素:年蔓婷 刘子衡:江柏成 许平儿:孙晶俐 储君:张书豪 老班头:吴凯泽 大娘:杨雨婷 二娘:王笑语 三娘:林梦圆 王磬:闫栋,丝路欢乐世界·琴音剧场
2024-01-01 14:30,上海,小说,格雷·亨特:钱蒙楠 怀特·希斯曼:钟嘉诚 休·戴克:纪晓坤,人民大舞台
2024-01-01 14:30,上海,嗜血博士,爱德华:顾易 乔纳森:何铭海 玛莎:蔡馨怡,星空间1023号·涵金小剧场
2024-01-01 14:30,上海,月亮与六便士,查尔斯:孙豆尔 艾米&老板娘:陈旭 威廉&斯特里夫:陈旭茂 布兰琪&爱塔:盛可欣,星空间815号·缪时客小剧场
2024-01-01 14:30,上海,小说,格雷·亨特:陈楷 怀特·希斯曼:汤佳明 休·戴克:徐步超,星空间115号·缪时客小剧场
2024-01-01 14:30,上海,FLAMES火焰,梅瑞狄斯:廖婧媛 爱德蒙:田野 埃里克:相征,星空间4号·缪时客小剧场
2024-01-01 14:30,上海,灯塔,霍普:郭洧江 怀恩:尹智博 守塔人:张鼎棋,星空间9号·鲸剧场
2024-01-01 14:30,上海,嘿！亚利桑那,简:吴杭律 比利:王桓 怀亚特:王逸飞 约瑟芬:于梦滢 强尼:连江维 哈利:周波 波特:高尔金宝音,嘿！亚利桑那
2024-01-01 14:30,上海,摇滚太白·诗与星,辛辰:胥子含 李月圆:范可妮 月娃&老师:王珏语涵,星空间407号·她剧场
2024-01-01 14:30,上海,时光代理人,程小时:白倬铭 陆光:王敏辉 乔苓:冯鑫垚 林贞/陈潇妈:郭珍艳 陈潇/陆鸿斌:张嘉豪,时光剧场
2024-01-01 14:30,上海,#0528,Eggy:温升宝 Brandon:林大钦 Doris:刘瀚聪,星空间28号·好好有戏小剧场
2024-01-01 14:30,上海,当你心动时,叶白:马灵奇 小白:朱亚洲 露露:黄可,星空间12号·耶比剧场
2024-01-01 14:30,上海,AI,董斯云:翟松 她:卓群,长宁来福士The Bell 钟楼演艺新空间
2024-01-01 14:30,上海,致爱,艾丽莎:邓贤凌 付平安:傅祥安,亚洲大厦·星空间黑匣子
2024-01-01 14:30,上海,两个人的谋杀,所有嫌疑犯:陈泽杨 马库斯警官:蔡鼎延,开心麻花U剧场
2024-01-01 14:30,上海,疯子与赞美诗,疯子:张铎 李默:钟子崴,星空间111号·墨剧场
2024-01-01 14:30,北京,空中花园谋杀案,厨师长:张弌铖 孔艳艳:刘爽 赵医生:张功长 小护士:罗欢 皮皮虾:李智浩 董事长夫人:张亚茜 董事长:陈育新 苏苏爸:吕京 苏苏:郭炳琨 苏文静:田雨,蜂巢剧场
2024-01-01 14:30,北京,婚礼歌手,罗比:李卓远 茱莉娅:鲁芳岐 格伦:李子健 霍莉:马凯漪 乔治:郭禹良 萨米:董韦凯 琳达:刘思纤 罗茜:崔欣仪 玛利亚:乌尼思,朝阳剧场
2024-01-01 14:30,成都,致命旋律,尼古拉斯:杨博皓 科伦:刘钊 杰弗瑞:杜舟 艾芙琳:项倩,成都开心麻花9剧场
2024-01-01 14:30,广州,阿波罗尼亚,理查德:郑金铠 奥斯卡:王常凯 史蒂夫:李坤嘉,阿波罗尼亚·广州馆
2024-01-01 15:20,成都,熊猫,,熊猫剧院
2024-01-01 16:00,北京,艺术区,,小柯剧场
2024-01-01 16:30,南京,火蔷薇,,花乐逗新街口店9馆
2024-01-01 17:00,上海,阿尔托，梵高,阿尔托:邵立君 梵高:宋元明 博士:智博闻,星空间17号·NFP小剧场
2024-01-01 17:00,上海,LIZZIE丽兹,LIZZIE:刘乙萱 EMMA:张沁丹 BRIDGET:陈姝月 ALICE:党韫葳,星空间11号·MOriginal Box
2024-01-01 17:00,上海,彗星来电,瑞吉娜:杜鑫艳 这个男的:鞠红川 那个男的:周默涵,星空间3号·MOriginal Box
2024-01-01 18:30,上海,玻璃猫鱼和科里奥利效应,林嘉兴:张超 胥紫冬:廖婧媛 关怀:董志勇 余琴:孔奕懿 浪漫派诗人/Edward周:黄偲 万能急救箱:杨佳鹏 数字生命体/林嘉彩:陈芸倩 林嘉彩分身/付嘉涵:孔奕懿 保鲜大王/付嘉涵分身:李志杰 小半仙/Alin:赖舒云 冰淇淋储存机:黄屿琦,上音歌剧院歌剧厅
2024-01-01 19:30,上海,灵魂摆渡之永生,赵吏:于毅 夏冬青:瞿艺 王小亚:于佳鑫 南熏:孙乐仟 穆尘:纪晓坤 男群:朱凯龙 男群:赵嘉豪 男群:王嘉 男群:潘天国 男群:高有顺 女群:莫玉滢 女群:林梦艾 女群:陈诗丹 女群:邹楚瑜 女群:王奕 女群:王冠华,云峰剧院
2024-01-01 19:30,上海,小说,格雷·亨特:钱蒙楠 怀特·希斯曼:钟嘉诚 休·戴克:张云轩,人民大舞台
2024-01-01 19:30,上海,嗜血博士,爱德华:王芯芯 乔纳森:蒋芸 玛莎:刘晓,星空间1023号·涵金小剧场
2024-01-01 19:30,上海,桑塔露琪亚,Stevie:牛博为 Chi Chi:王浩楠 Sonny Boy:吴以瀚,星空间6号·一台好戏小剧场
2024-01-01 19:30,上海,阿波罗尼亚,理查德:施天玮 奥斯卡:邵奕磊 史蒂夫:杜航,星空间1号·一台好戏小剧场
2024-01-01 19:30,上海,辛吉路的画材店,卡路:李珏 塞修:董豫辰 辛吉:刘瀚聪,星空间2号·好好有戏剧场
2024-01-01 19:30,上海,蝶变,曼曼:赵嘉艳 沈文君:丁辰西 齐志平:刘泽星,星空间8号·一台好戏方寸剧场
2024-01-01 19:30,上海,双重危机,吉米·马丁:杨映宇 鲍比·马丁:李存贤,星空间19号
2024-01-01 19:30,上海,摇滚太白·诗与星,辛辰:王款儿 李月圆:易群 月娃&老师:钟嘉媚,星空间407号·她剧场
2024-01-01 19:30,上海,少年歌行·梵音谣,雷无桀:王桓 萧瑟:周宇杰 无心:诸葛北辰 多功能:叶炜航,星空间81号·白剧场
2024-01-01 19:30,上海,梦微之,白居易:沈育奇 元稹:许昌泰,星空间33号 鲸·剧场
2024-01-01 19:30,上海,时光代理人,程小时:丁星辰 陆光:杜光祎 乔苓:冯鑫垚 林贞/陈潇妈:郭珍艳 陈潇/陆鸿斌:周波,时光剧场
2024-01-01 19:30,上海,#0528,Eggy:夏阳 Brandon:徐步超 Doris:王颢珏,星空间28号·好好有戏小剧场
2024-01-01 19:30,上海,当你心动时,叶白:徐佳文 小白:施博威 露露:葛洧吟,星空间12号·耶比剧场
2024-01-01 19:30,上海,AI,董斯云:舒杨 她:陈棋尔,长宁来福士The Bell 钟楼演艺新空间
2024-01-01 19:30,上海,致爱,艾丽莎:王洁璐 付平安:白倬铭,亚洲大厦·星空间黑匣子
2024-01-01 19:30,上海,疯子与赞美诗,疯子:傅祥安 李默:张琛,星空间111号·墨剧场
2024-01-01 19:30,北京,婚礼歌手,罗比:王帅 茱莉娅:鲁芳岐 格伦:帕赛 霍莉:李想 乔治:郭禹良 萨米:刘治威 琳达:文颖倩 罗茜:乌尼思 玛利亚:赵梓岑,朝阳剧场
2024-01-01 19:30,成都,阿波罗尼亚,理查德:王博睿 奥斯卡:周靖杰 史蒂夫:杜牧,西部文化产业中心·一台好戏小剧场
2024-01-01 19:30,成都,双面奇才,奇才:杨博皓 妮娜:袁也 Tiger:陈画风 阿泰:于畅 陈老五:肖杨 主持人:张飞扬 神秘人:查宗伯 母亲:冯韵颖,四川歌舞大剧院
2024-01-01 19:30,武汉,小说,格雷·亨特:文振宇 怀特·希斯曼:刘子赫 休·戴克:王皓,武演新空间（梦时代馆）
2024-01-02 14:00,成都,熊猫,,熊猫剧院
2024-01-02 14:00,西安,丝路之声,Joey:梁广 心慧/素素:田恬 刘子衡:周熙智 许平儿:孙晶俐 储君:谭建业 老班头:张书豪 大娘:孙紫薇 二娘:王笑语 三娘:林梦圆 王磬:闫栋,丝路欢乐世界·琴音剧场
2024-01-02 19:30,上海,嗜血博士,爱德华:赵钱龙 乔纳森:王颢珏 玛莎:洪果,星空间1023号·涵金小剧场
2024-01-02 19:30,上海,阿尔托，梵高,阿尔托:朱微之 梵高:施博威 博士:何铭海,星空间17号·NFP小剧场
2024-01-02 19:30,上海,AI,董斯云:王国栋 她:孙彩纶,长宁来福士The Bell 钟楼演艺新空间
