音乐剧,原创性,进度,首演日期,其他信息,制作公司,主创信息
她&她,原创,定档,2025-01-01,沉浸式新国风音乐剧,出品制作单位：上海晶英文化传媒（集团）有限公司 安徽省黄梅戏剧院,"
编剧：顾湘萍
导演：顾湘萍
音乐作曲·音乐总监：谭浩
戏曲作曲：程方圆
编舞：张爽
舞美设计：董东
灯光设计：徐飞
服装设计：陈悦懿
妆造发型设计：李梓涵
身段设计：张小威 张爽"
东门！东门,原创,定档,2025-01-02,,出品：中国国家话剧院,"
编剧作词：曹瑜 刘颖
导演：王哲
作曲、编曲：邓力
舞蹈编导：叶广南
舞美设计：陈斯
灯光设计：丁昀祎
服装设计：程方 张静
化妆设计：张静
道具设计：姜雪婷
音响设计：尚辉"
湾,原创,定档,2025-01-06,,出品单位：中国国家话剧院 深圳话剧院（筹） 深圳大剧院,"
编剧、导演、作曲：曲艺
舞美设计：陈斯
灯光设计：包力
服装设计：程方
道具设计：姜雪婷
多媒体设计：王晋宁
影像设计：郭静
化装设计：安娜
编曲：佟璐 曲艺
音效设计：周泓哲 刘沐旸
音响设计：唐国丰"
长安十二时辰,原创,定档,2025-02-14,"版权方：娱跃文化
原著：马伯庸","出品制作：四川省歌舞剧院有限责任公司 缪时客
联合出品：中演演出院线发展有限责任公司 合肥演艺集团","
导演：胡晓庆
作曲：安栋
编剧：王丽鹤 温昭逸
作词：吕学平 温昭逸
音乐总监：魏诗泉
编舞：汤杰 宋名名 陈也晨
舞美设计：陶象驹
灯光设计：杨子欣
服装设计：阳东霖
造型设计：贾雷
音响设计：郭隐星"
锦衣卫之刀与花,原创,上演,2024-12-24,,"
出品制作：上海剧伙音乐文化有限公司
联合出品：沐田居海 上海上玺文化传播有限公司 开心麻花 上海兜兜米文化传播有限公司 大幕小聚","导演/编舞：刘晓邑
编剧/作词：沈亮
作曲/编曲：张博
联合编剧/作词：孙浩程
舞美设计：徐肖寰
灯光设计：何逸伦 蔡雨阳
服化设计：刘善通 赵欣（饺子）
多媒体设计：马灵格
道具设计：李经伦
音效设计：陈天娇
音响设计：张效源"
Jessica,原创,上演,2024-12-24,,"
企划/制作：广州正佳光迈传媒有限公司","原版编剧/作词：崔容硕
作曲：金允炯
剧本润色/作词润色：思诺
导演：陈轶
音响设计：陈小丽
舞蹈编导：张期番
舞台设计：崔容硕
灯光设计：陈科文"
金风玉露,原创,上演,2024-12-23,"中国文联2024年重点创作目录项目
北京宣传文化引导基金资助
“大戏看北京”文艺创作孵化平台精品创作项目支持","
出品单位：北京市文学艺术界联合会 北京天桥盛世投资集团有限责任公司
联合出品：北京市文艺家服务中心 北京京都文化投资管理有限公司
制作单位：北京京都文化投资管理有限公司
联合制作：北京京剧院 北京市曲剧团 北京湖广会馆","编剧/作词/导演：李卓群
联合编剧/作词：孙钰熙
作曲：姜景洪
服装造型设计：蓝玲 张颖
舞蹈设计：王培先
多媒体设计：胡天骥
舞美/道具设计：郭爱伦
灯光设计：劳宣
音响设计：李想"
无间道,原创,上演,2024-12-20,,,"导演·编舞：长谷川宁
中方导演：徐栋
编剧：Wang Yong Beom
中方编剧：李宜橙
作曲：William Rousseau
作词：许钧
音乐总监·编曲：Björn Dobbelaere
舞台&道具设计：KISHIHARA
服装造型设计：Jo Moon Su 趙紋秀
音响设计：Tony Gayle
灯光设计：杨冬青
多媒体设计：周涛"
她对此感到厌烦,原创,上演,2024-12-20,原著《女主对此感到厌烦》作者 妚鹤,"
出品/制作：看了都说好Herstory
联合出品：摘星阁文化传媒有限公司","导演/编剧/作词：陈天然
作曲：潘炳屹 邓伟麟 楚笛
编曲：潘炳屹 邓伟麟
音乐总监：陈妍
音效设计：陈晨
舞蹈编导：刘咿伊
舞美设计：李祎
灯光设计：朱雨双
音响设计：潘炳屹
多媒体设计：李扬
服装造型设计：原储睿
妆发造型设计：凌艳"
战争与和平,原创,上演,2024-12-20,原著：列夫·尼古拉耶维奇·托尔斯泰,"
出品制作：国家大剧院","音乐总监/作曲：舒楠
编剧/作词：喻荣军
导演：阿丽娜·切维克
编舞：伊琳娜·科尔涅耶娃
舞美/服装设计：维亚切斯拉夫·奥库涅夫
灯光设计：邢辛
多媒体设计：胡天骥
音响设计：何飚
化装设计：任小秋"
